state,county,population,lat,long
WA,Kitsap,269805,47.6719585,-122.7433825
CA,Solano,446610,38.2871145,-122.0001255
CA,Santa Cruz,274255,37.0683515,-121.949418
CA,Napa,139417,38.5095905,-122.35855
CA,Ventura,850967,34.058353,-119.1057185
MA,Worcester,830839,42.364811,-71.8970565
GA,Gwinnett,927781,33.9603405,-84.037963
GA,DeKalb,756558,33.7950005,-84.1869685
KY,Floyd,35845,37.520775,-82.754252
GA,Fayette,113459,33.4037165,-84.504039
TX,Gregg,123707,32.5138005,-94.783077
NJ,Monmouth,621354,40.2778005,-74.2928135
NJ,Burlington,445384,39.8658955,-74.7249495
NJ,Camden,507078,39.800549,-74.9381575
NJ,Passaic,503310,41.0114805,-74.304839
NJ,Union,558067,40.665566,-74.300027
CO,Eagle,54895,39.6373275,-106.645068
CO,Larimer,350424,40.628047,-105.5669625
CO,Arapahoe,651513,39.6533655,-104.3803435
CO,Gunnison,17182,38.702179,-106.94099
IL,Kane,534216,41.9369435,-88.419968
PA,Monroe,169507,41.0334235,-75.308198
PA,Philadelphia,1584138,40.0018505,-75.116323
MD,Prince George's,909308,38.8331695,-76.87822
IA,Pottawattamie,93533,41.3330975,-95.5872695
SC,Kershaw,65592,34.3418685,-80.5825535
AZ,Pima,1039073,31.9699695,-111.890835
IN,Noble,47532,41.3952975,-85.4234205
PA,Adams,102811,39.8948875,-77.2130085
IN,Boone,66999,40.051774,-86.4677715
WI,Dane,542364,43.069541,-89.4235435
WI,Pierce,42555,44.7007885,-92.471595
OH,Cuyahoga,1243857,41.453196,-81.673017
UT,Weber,256359,41.2552205,-111.9569765
VT,Bennington,,43.0279,-73.135
MN,Carver,103551,44.809337,-93.7663335
FL,Charlotte,184998,26.902401,-81.9689695
GA,Cherokee,254149,34.242944,-84.45841
TX,Collin,1005146,33.193628,-96.569696
KY,Jefferson,770517,38.189522,-85.6764645
LA,Jefferson,,29.6499,-90.1121
CA,Shasta,180040,40.7359105,-122.192699
SC,Spartanburg,313888,34.8881375,-81.969116
KY,Harrison,18778,38.4299455,-84.3297375
IA,Johnson,151260,41.6426345,-91.5995785
MA,Berkshire,126348,42.3929005,-73.22845
TN,Davidson,692587,36.18686,-86.7851325
OR,Douglas,110283,43.3222345,-123.0963585
CA,Fresno,994400,36.7464615,-119.6396585
MD,Harford,253956,39.5117065,-76.315203
IN,Hendricks,167009,39.762399,-86.510613
NJ,Hudson,676061,40.732722,-74.0754045
KS,Johnson,597555,38.899655,-94.8319645
WA,Kittitas,47364,47.167153,-120.688514
FL,Manatee,394855,27.4272245,-82.4000485
OR,Marion,346868,44.984239,-122.4575375
FL,Okaloosa,207269,30.6877635,-86.5944645
GA,Polk,42470,33.99994,-85.1722975
CA,Riverside,2450758,33.7528295,-116.0556175
TN,Shelby,935764,35.2013885,-89.971537
MO,St. Louis,996945,38.639327,-90.427013
NY,Suffolk,1481093,40.9499955,-72.6766375
NY,Ulster,178599,41.878801,-74.345684
FL,Volusia,547538,29.0200235,-81.2065735
