date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,population,region,pos100k,death100k
2020-03-21,AK,14,758,,0,,772,2020-03-21T20:00:00Z,772,0,0,72,2,74,731545,w,1.91375786862052,
2020-03-21,AL,124,28,,,0,152,2020-03-21T20:00:00Z,152,0,0,0,43,43,4903185,s,2.52896841542793,0
2020-03-21,AR,118,567,154,,,839,2020-03-21T20:00:00Z,685,0,0,216,22,238,3017825,s,3.91010081764185,
2020-03-21,AS,,,,,0,0,2020-03-21T20:00:00Z,0,0,0,0,0,0,55641,i,,0
2020-03-21,AZ,104,240,122,,1,466,2020-03-21T20:00:00Z,344,1,0,29,39,68,7278717,w,1.42882323904062,0.0137386849907752
2020-03-21,CA,1279,11249,,,24,12528,2020-03-21T20:00:00Z,12528,4,0,825,216,1041,39512223,w,3.23697302477767,0.0607406978848039
2020-03-21,CO,363,3317,,44,4,3680,2020-03-21T20:00:00Z,3680,1,44,642,86,728,5758736,w,6.30346659405814,0.0694596869868666
2020-03-21,CT,194,2106,,,4,2300,2020-03-21T20:00:00Z,2300,1,0,1502,0,1502,3565287,ne,5.4413571754532,0.112192931452643
2020-03-21,DC,77,506,0,,1,583,2020-03-21T20:00:00Z,583,0,0,5,6,11,705749,s,10.9103944886922,0.14169343491808
2020-03-21,DE,45,36,,,0,81,2020-03-21T20:00:00Z,81,0,0,0,7,7,973764,s,4.62124292949832,0
2020-03-21,FL,658,6579,1002,158,12,8239,2020-03-21T20:00:00Z,7237,2,158,4709,138,4847,21477737,s,3.06363747726308,0.0558718080959833
2020-03-21,GA,507,2557,,,14,3064,2020-03-21T20:00:00Z,3064,1,0,591,87,678,10617423,s,4.77517002006984,0.131858738226781
2020-03-21,GU,15,108,,,,123,2020-03-21T20:00:00Z,123,0,0,22,1,23,165718,i,9.05152125900626,
2020-03-21,HI,37,124,9,,,170,2020-03-21T20:00:00Z,161,0,0,0,11,11,1415872,w,2.61323057451521,
2020-03-21,IA,68,1049,,,,1117,2020-03-21T20:00:00Z,1117,0,0,407,23,430,3155070,mw,2.15526121448969,
