state,county,population,date,type,value,lat,long
NY,New York City,,2020-03-22,cases,9654,40.7672726,-73.97152637
NY,New York City,,2020-03-22,deaths,63,40.7672726,-73.97152637
NY,Nassau,1358343,2020-03-22,cases,1900,40.74066522,-73.58941873
NY,Nassau,1358343,2020-03-22,deaths,4,40.74066522,-73.58941873
NY,Westchester,967612,2020-03-22,cases,1873,41.16278376,-73.75741653
NY,Westchester,967612,2020-03-22,deaths,0,41.16278376,-73.75741653
NY,Suffolk,1481093,2020-03-22,cases,1034,40.88320119,-72.8012172
NY,Suffolk,1481093,2020-03-22,deaths,9,40.88320119,-72.8012172
NY,Rockland,325695,2020-03-22,cases,455,41.15027894,-74.02560498
NY,Rockland,325695,2020-03-22,deaths,1,41.15027894,-74.02560498
NY,Orange,,2020-03-22,cases,247,41.40337468,-74.30240757
NY,Orange,,2020-03-22,deaths,0,41.40337468,-74.30240757
NY,Albany,,2020-03-22,cases,123,42.60060306,-73.97723916
NY,Albany,,2020-03-22,deaths,0,42.60060306,-73.97723916
NY,Dutchess,,2020-03-22,cases,82,41.7648606,-73.74356679
NY,Dutchess,,2020-03-22,deaths,0,41.7648606,-73.74356679
NY,Monroe,,2020-03-22,cases,68,43.14638895,-77.69322942
NY,Monroe,,2020-03-22,deaths,1,43.14638895,-77.69322942
NY,Erie,,2020-03-22,cases,56,42.76249024,-78.73063652
NY,Erie,,2020-03-22,deaths,0,42.76249024,-78.73063652
NY,Onondaga,,2020-03-22,cases,45,43.00491923,-76.19971155
NY,Onondaga,,2020-03-22,deaths,0,43.00491923,-76.19971155
NY,Saratoga,230163,2020-03-22,cases,35,43.10904162,-73.86653895
NY,Saratoga,230163,2020-03-22,deaths,0,43.10904162,-73.86653895
NY,Schenectady,,2020-03-22,cases,32,42.81668777,-74.05278291
NY,Schenectady,,2020-03-22,deaths,0,42.81668777,-74.05278291
NY,Putnam,,2020-03-22,cases,31,41.42630093,-73.74965532
NY,Putnam,,2020-03-22,deaths,0,41.42630093,-73.74965532
NY,Unassigned,,2020-03-22,cases,23,0,0
NY,Unassigned,,2020-03-22,deaths,38,0,0
NY,Rensselaer,,2020-03-22,cases,20,42.71348136,-73.51089874
NY,Rensselaer,,2020-03-22,deaths,0,42.71348136,-73.51089874
NY,Ulster,178599,2020-03-22,cases,18,41.89027881,-74.26252104
NY,Ulster,178599,2020-03-22,deaths,0,41.89027881,-74.26252104
NY,Columbia,,2020-03-22,cases,17,42.24819348,-73.63089095
NY,Columbia,,2020-03-22,deaths,0,42.24819348,-73.63089095
NY,Tompkins,,2020-03-22,cases,15,42.44945765,-76.47229843
NY,Tompkins,,2020-03-22,deaths,0,42.44945765,-76.47229843
NY,Sullivan,,2020-03-22,cases,12,41.71579493,-74.76394559
NY,Sullivan,,2020-03-22,deaths,0,41.71579493,-74.76394559
NY,Niagara,,2020-03-22,cases,9,43.19898042,-78.74777412
NY,Niagara,,2020-03-22,deaths,0,43.19898042,-78.74777412
NY,Oneida,,2020-03-22,cases,4,43.24375382,-75.43710392
NY,Oneida,,2020-03-22,deaths,0,43.24375382,-75.43710392
NY,Ontario,,2020-03-22,cases,4,42.85145728,-77.30874425
NY,Ontario,,2020-03-22,deaths,0,42.85145728,-77.30874425
NY,Clinton,,2020-03-22,cases,4,44.74530905,-73.67875352
NY,Clinton,,2020-03-22,deaths,0,44.74530905,-73.67875352
NY,Herkimer,,2020-03-22,cases,3,43.42034246,-74.96145307
NY,Herkimer,,2020-03-22,deaths,0,43.42034246,-74.96145307
NY,Broome,,2020-03-22,cases,3,42.15903158,-75.81326086
NY,Broome,,2020-03-22,deaths,1,42.15903158,-75.81326086
NY,Montgomery,,2020-03-22,cases,3,42.90123494,-74.44011632
NY,Montgomery,,2020-03-22,deaths,0,42.90123494,-74.44011632
NY,Essex,,2020-03-22,cases,3,44.11630765,-73.77297842
NY,Essex,,2020-03-22,deaths,0,44.11630765,-73.77297842
NY,Wayne,,2020-03-22,cases,3,43.15494365,-77.02976528
NY,Wayne,,2020-03-22,deaths,0,43.15494365,-77.02976528
NY,Greene,,2020-03-22,cases,2,42.275797,-74.12384884
NY,Greene,,2020-03-22,deaths,0,42.275797,-74.12384884
NY,Allegany,,2020-03-22,cases,2,42.25748406,-78.02750466
NY,Allegany,,2020-03-22,deaths,0,42.25748406,-78.02750466
NY,Wyoming,,2020-03-22,cases,2,42.70145109,-78.22199579
NY,Wyoming,,2020-03-22,deaths,0,42.70145109,-78.22199579
NY,Hamilton,,2020-03-22,cases,2,43.66146647,-74.49721957
NY,Hamilton,,2020-03-22,deaths,0,43.66146647,-74.49721957
NY,Chenango,,2020-03-22,cases,2,42.49430041,-75.60887553
NY,Chenango,,2020-03-22,deaths,0,42.49430041,-75.60887553
NY,Steuben,,2020-03-22,cases,2,42.2689144,-77.3829924
NY,Steuben,,2020-03-22,deaths,0,42.2689144,-77.3829924
NY,Livingston,,2020-03-22,cases,2,42.72596275,-77.77966158
NY,Livingston,,2020-03-22,deaths,0,42.72596275,-77.77966158
NY,Cortland,,2020-03-22,cases,2,42.59509207,-76.07048931
NY,Cortland,,2020-03-22,deaths,0,42.59509207,-76.07048931
NY,Delaware,,2020-03-22,cases,1,42.19837623,-74.96709306
NY,Delaware,,2020-03-22,deaths,0,42.19837623,-74.96709306
NY,Tioga,,2020-03-22,cases,1,42.16852837,-76.30835812
NY,Tioga,,2020-03-22,deaths,0,42.16852837,-76.30835812
NY,Genesee,,2020-03-22,cases,1,43.0022601,-78.19135193
NY,Genesee,,2020-03-22,deaths,0,43.0022601,-78.19135193
NY,Warren,,2020-03-22,cases,1,43.56173026,-73.8433699
NY,Warren,,2020-03-22,deaths,0,43.56173026,-73.8433699
NY,Washington,,2020-03-22,cases,1,43.31153794,-73.43043448
NY,Washington,,2020-03-22,deaths,0,43.31153794,-73.43043448
NY,Schoharie,,2020-03-22,cases,1,42.58831742,-74.4433903
NY,Schoharie,,2020-03-22,deaths,0,42.58831742,-74.4433903
NY,Fulton,,2020-03-22,cases,1,43.11363907,-74.41798804
NY,Fulton,,2020-03-22,deaths,0,43.11363907,-74.41798804
NY,Jefferson,,2020-03-22,cases,1,44.04200959,-75.94653457
NY,Jefferson,,2020-03-22,deaths,0,44.04200959,-75.94653457
WA,King,2233163,2020-03-22,cases,1040,47.49137892,-121.8346131
