date,state,positive,death
2020-03-22,AK,20,0
2020-03-22,AL,157,0
2020-03-22,AR,165,0
2020-03-22,AS,0,0
2020-03-22,AZ,152,2
2020-03-22,CA,1646,30
2020-03-22,CO,591,6
2020-03-22,CT,327,8
2020-03-22,DC,0,0
2020-03-22,DE,56,0
2020-03-22,FL,1004,13
2020-03-22,GA,621,25
2020-03-22,GU,27,1
2020-03-22,HI,53,0
2020-03-22,IA,90,0
2020-03-22,ID,42,0
2020-03-22,IL,1049,9
2020-03-22,IN,204,6
2020-03-22,KS,65,2
2020-03-22,KY,103,3
2020-03-22,LA,837,20
2020-03-22,MA,646,5
2020-03-22,MD,244,3
2020-03-22,ME,89,0
2020-03-22,MI,1035,9
2020-03-22,MN,167,1
2020-03-22,MO,87,3
2020-03-22,MP,0,0
2020-03-22,MS,207,1
2020-03-22,MT,34,0
2020-03-22,NC,305,0
2020-03-22,ND,28,0
2020-03-22,NE,51,0
2020-03-22,NH,74,0
2020-03-22,NJ,1914,20
2020-03-22,NM,57,0
2020-03-22,NV,190,2
2020-03-22,NY,15800,117
2020-03-22,OH,356,3
2020-03-22,OK,67,2
2020-03-22,OR,161,5
2020-03-22,PA,509,4
2020-03-22,PR,23,1
2020-03-22,RI,83,0
2020-03-22,SC,196,3
2020-03-22,SD,21,1
2020-03-22,TN,505,2
2020-03-22,TX,643,7
2020-03-22,UT,162,1
2020-03-22,VA,220,6
2020-03-22,VT,52,2
2020-03-22,WA,1997,97
2020-03-22,WI,381,4
2020-03-22,WV,16,0
2020-03-22,WY,26,0
2020-03-23,AK,30,0
2020-03-23,AL,196,0
2020-03-23,AR,192,0
2020-03-23,AS,0,0
2020-03-23,AZ,235,2
2020-03-23,CA,2108,39
2020-03-23,CO,704,7
2020-03-23,CT,415,10
2020-03-23,DC,120,2
2020-03-23,DE,68,0
2020-03-23,FL,1227,18
2020-03-23,GA,772,25
2020-03-23,GU,29,1
2020-03-23,HI,56,0
2020-03-23,IA,105,0
2020-03-23,ID,68,0
2020-03-23,IL,1285,12
2020-03-23,IN,270,7
2020-03-23,KS,84,2
2020-03-23,KY,123,4
2020-03-23,LA,1172,35
2020-03-23,MA,777,9
2020-03-23,MD,290,3
2020-03-23,ME,107,0
2020-03-23,MI,1329,15
2020-03-23,MN,234,1
2020-03-23,MO,187,4
2020-03-23,MP,0,0
2020-03-23,MS,249,1
2020-03-23,MT,34,0
2020-03-23,NC,353,0
2020-03-23,ND,30,0
2020-03-23,NE,51,0
2020-03-23,NH,101,1
2020-03-23,NJ,2844,27
2020-03-23,NM,83,0
2020-03-23,NV,245,4
2020-03-23,NY,20884,158
2020-03-23,OH,443,6
2020-03-23,OK,81,2
2020-03-23,OR,191,5
2020-03-23,PA,698,6
2020-03-23,PR,31,2
2020-03-23,RI,106,0
2020-03-23,SC,298,5
2020-03-23,SD,28,1
2020-03-23,TN,614,2
2020-03-23,TX,758,9
2020-03-23,UT,257,1
2020-03-23,VA,254,6
2020-03-23,VT,75,5
2020-03-23,WA,2221,109
2020-03-23,WI,425,5
2020-03-23,WV,16,0
2020-03-23,WY,26,0
2020-03-24,AK,34,0
2020-03-24,AL,242,0
2020-03-24,AR,219,2
2020-03-24,AS,0,0
2020-03-24,AZ,326,5
2020-03-24,CA,2538,50
2020-03-24,CO,723,8
2020-03-24,CT,618,12
2020-03-24,DC,141,2
2020-03-24,DE,104,0
2020-03-24,FL,1412,18
2020-03-24,GA,1026,32
2020-03-24,GU,32,1
2020-03-24,HI,90,1
2020-03-24,IA,124,0
2020-03-24,ID,81,0
2020-03-24,IL,1537,16
2020-03-24,IN,368,12
2020-03-24,KS,100,2
2020-03-24,KY,162,4
2020-03-24,LA,1388,46
2020-03-24,MA,1159,11
2020-03-24,MD,349,4
2020-03-24,ME,118,0
2020-03-24,MI,1793,24
2020-03-24,MN,261,1
2020-03-24,MO,257,7
2020-03-24,MP,0,0
2020-03-24,MS,320,1
2020-03-24,MT,51,0
2020-03-24,NC,495,0
2020-03-24,ND,36,0
2020-03-24,NE,66,0
2020-03-24,NH,101,1
2020-03-24,NJ,3675,44
2020-03-24,NM,100,0
2020-03-24,NV,278,4
2020-03-24,NY,25681,210
2020-03-24,OH,567,8
2020-03-24,OK,106,3
2020-03-24,OR,210,8
2020-03-24,PA,946,8
2020-03-24,PR,39,2
2020-03-24,RI,124,0
2020-03-24,SC,342,5
2020-03-24,SD,30,1
2020-03-24,TN,772,2
2020-03-24,TX,955,12
2020-03-24,UT,298,1
2020-03-24,VA,293,9
2020-03-24,VT,95,7
2020-03-24,WA,2328,116
2020-03-24,WI,481,5
2020-03-24,WV,22,0
2020-03-24,WY,29,0
2020-03-25,AK,41,1
2020-03-25,AL,381,1
2020-03-25,AR,280,2
2020-03-25,AS,0,0
2020-03-25,AZ,401,6
2020-03-25,CA,2998,65
2020-03-25,CO,1021,16
2020-03-25,CT,875,19
2020-03-25,DC,187,2
2020-03-25,DE,119,0
2020-03-25,FL,1682,23
2020-03-25,GA,1247,40
2020-03-25,GU,37,1
2020-03-25,HI,91,0
2020-03-25,IA,146,1
2020-03-25,ID,91,0
2020-03-25,IL,1865,19
2020-03-25,IN,477,14
2020-03-25,KS,134,3
2020-03-25,KY,197,5
2020-03-25,LA,1795,65
2020-03-25,MA,1838,15
2020-03-25,MD,425,4
2020-03-25,ME,142,0
2020-03-25,MI,2296,43
2020-03-25,MN,286,1
2020-03-25,MO,354,8
2020-03-25,MP,0,0
2020-03-25,MS,377,3
2020-03-25,MT,65,0
2020-03-25,NC,590,2
2020-03-25,ND,45,0
2020-03-25,NE,71,0
2020-03-25,NH,108,1
2020-03-25,NJ,4402,62
2020-03-25,NM,113,1
2020-03-25,NV,323,6
2020-03-25,NY,30841,285
2020-03-25,OH,704,11
2020-03-25,OK,164,5
2020-03-25,OR,266,10
2020-03-25,PA,1260,15
2020-03-25,PR,51,2
2020-03-25,RI,132,0
2020-03-25,SC,424,7
2020-03-25,SD,41,1
2020-03-25,TN,916,3
2020-03-25,TX,1229,15
2020-03-25,UT,340,1
2020-03-25,VA,396,9
2020-03-25,VT,125,8
2020-03-25,WA,2591,133
2020-03-25,WI,621,7
2020-03-25,WV,39,0
2020-03-25,WY,44,0
2020-03-26,AK,56,1
2020-03-26,AL,517,1
2020-03-26,AR,335,2
2020-03-26,AS,0,0
2020-03-26,AZ,508,8
2020-03-26,CA,3899,81
2020-03-26,CO,1430,19
2020-03-26,CT,1012,21
2020-03-26,DC,231,3
2020-03-26,DE,130,1
2020-03-26,FL,2357,29
2020-03-26,GA,1525,48
2020-03-26,GU,45,1
2020-03-26,HI,95,0
2020-03-26,IA,179,1
2020-03-26,ID,146,3
2020-03-26,IL,2538,26
2020-03-26,IN,645,17
2020-03-26,KS,172,3
2020-03-26,KY,247,5
2020-03-26,LA,2304,83
2020-03-26,MA,2417,25
2020-03-26,MD,583,4
2020-03-26,ME,155,0
2020-03-26,MI,2845,61
2020-03-26,MN,344,2
2020-03-26,MO,520,9
2020-03-26,MP,0,0
2020-03-26,MS,485,6
2020-03-26,MT,90,0
2020-03-26,NC,738,3
2020-03-26,ND,51,0
2020-03-26,NE,74,0
2020-03-26,NH,137,1
2020-03-26,NJ,6876,81
2020-03-26,NM,113,1
2020-03-26,NV,420,10
2020-03-26,NY,37877,385
2020-03-26,OH,868,15
2020-03-26,OK,248,7
2020-03-26,OR,316,11
2020-03-26,PA,1795,18
2020-03-26,PR,64,2
2020-03-26,RI,165,0
2020-03-26,SC,424,9
2020-03-26,SD,46,1
2020-03-26,TN,1097,3
2020-03-26,TX,1563,21
2020-03-26,UT,396,1
2020-03-26,VA,466,10
2020-03-26,VT,158,9
2020-03-26,WA,3207,150
2020-03-26,WI,728,10
2020-03-26,WV,52,0
2020-03-26,WY,53,0
2020-03-27,AK,58,1
2020-03-27,AL,587,4
2020-03-27,AR,381,3
2020-03-27,AS,0,0
2020-03-27,AZ,665,13
2020-03-27,CA,4657,94
2020-03-27,CO,1433,27
2020-03-27,CT,1291,27
2020-03-27,DC,271,3
2020-03-27,DE,163,2
2020-03-27,FL,2900,35
2020-03-27,GA,2000,64
2020-03-27,GU,51,1
2020-03-27,HI,106,0
2020-03-27,IA,235,3
2020-03-27,ID,205,3
2020-03-27,IL,3024,34
2020-03-27,IN,979,25
2020-03-27,KS,206,4
2020-03-27,KY,301,7
2020-03-27,LA,2744,119
2020-03-27,MA,3240,35
2020-03-27,MD,775,5
2020-03-27,ME,168,1
2020-03-27,MI,3634,92
2020-03-27,MN,396,4
2020-03-27,MO,666,9
2020-03-27,MP,0,0
2020-03-27,MS,579,8
2020-03-27,MT,109,1
2020-03-27,NC,887,4
2020-03-27,ND,68,1
2020-03-27,NE,82,0
2020-03-27,NH,158,1
2020-03-27,NJ,8825,108
2020-03-27,NM,136,1
2020-03-27,NV,536,10
2020-03-27,NY,44876,527
2020-03-27,OH,1137,19
2020-03-27,OK,322,8
2020-03-27,OR,416,12
2020-03-27,PA,2345,22
2020-03-27,PR,79,3
2020-03-27,RI,203,0
2020-03-27,SC,542,13
2020-03-27,SD,58,1
2020-03-27,TN,1318,6
2020-03-27,TX,1937,26
2020-03-27,UT,472,1
2020-03-27,VA,607,10
2020-03-27,VT,184,10
2020-03-27,WA,3477,157
2020-03-27,WI,926,14
2020-03-27,WV,76,0
2020-03-27,WY,70,0
2020-03-28,AK,85,2
2020-03-28,AL,694,4
2020-03-28,AR,409,5
2020-03-28,AS,0,0
2020-03-28,AZ,773,15
2020-03-28,CA,5095,110
2020-03-28,CO,1740,31
2020-03-28,CT,1524,33
2020-03-28,DC,304,4
2020-03-28,DE,214,5
2020-03-28,FL,3763,54
2020-03-28,GA,2366,69
2020-03-28,GU,55,1
2020-03-28,HI,149,0
2020-03-28,IA,298,3
2020-03-28,ID,234,4
2020-03-28,IL,3491,47
2020-03-28,IN,1233,31
2020-03-28,KS,266,4
2020-03-28,KY,393,9
2020-03-28,LA,3315,137
2020-03-28,MA,4257,44
2020-03-28,MD,995,5
2020-03-28,ME,211,1
2020-03-28,MI,4650,111
2020-03-28,MN,441,5
2020-03-28,MO,836,10
2020-03-28,MP,0,0
2020-03-28,MS,663,13
2020-03-28,MT,129,1
2020-03-28,NC,1020,5
2020-03-28,ND,94,1
2020-03-28,NE,96,2
2020-03-28,NH,187,2
2020-03-28,NJ,11124,140
2020-03-28,NM,208,1
2020-03-28,NV,626,10
2020-03-28,NY,52410,728
2020-03-28,OH,1406,25
2020-03-28,OK,377,15
2020-03-28,OR,479,13
2020-03-28,PA,2845,34
2020-03-28,PR,100,3
2020-03-28,RI,239,2
2020-03-28,SC,660,15
2020-03-28,SD,68,1
