state,state_code,region,division
Alabama,AL,South,East South Central
Arkansas,AR,South,West South Central
District of Columbia,DC,South,South Atlantic
Delaware,DE,South,South Atlantic
Florida,FL,South,South Atlantic
Georgia,GA,South,South Atlantic
Kentucky,KY,South,East South Central
Louisiana,LA,South,West South Central
Maryland,MD,South,South Atlantic
Mississippi,MS,South,East South Central
North Carolina,NC,South,South Atlantic
Oklahoma,OK,South,West South Central
South Carolina,SC,South,South Atlantic
Tennessee,TN,South,East South Central
Texas,TX,South,West South Central
Virginia,VA,South,South Atlantic
West Virginia,WV,South,South Atlantic
